NPSN;NAMA SEKOLAH;ALAMAT;DAFTAR KOMPETENSI;DAFTAR KOMPETENSI2;DAFTAR KOMPETENSI3;DAFTAR KOMPETENSI4;DAFTAR KOMPETENSI5;DAFTAR KOMPETENSI6;DAFTAR KOMPETENSI7;DAFTAR KOMPETENSI8;DAFTAR KOMPETENSI9;DAFTAR KOMPETENSI10;Domisili;Rerata prestasi akademik;Rerata prestasi nonakademik;rerata tahap kedua;rerata afirmasi;rerata zonasi;akreditasi;daya tampung prestasi akademik;daya tampung prestasi nonakademik;daya tampung tahap kedua;daya tampung afirmasi;daya tampung zonasi
20100143;SMK NEGERI 1;JL. BUDI UTOMO NO 7 JAKARTA PUSAT;Teknik Konstruksi dan Perumahan; Desain Pemodelan dan Informasi Bangunan; Teknik Instalasi Tenaga Listrik; Teknik Pemesinan; Desain Gambar Mesin; Teknik Kendaraan Ringan; Rekayasa Perangkat Lunak; Sistem Informasi. Jaringan dan Aplikasi; Teknik Komputer dan Jaringan; Desain Komunikasi Visual;Jakarta Pusat;62.83;70.09;50.45;50.77;;A;302 murid;40 murid;204 murid;35 murid;
20100161;SMK NEGERI 2;JL. BATU NO. 3;Rekayasa Perangkat Lunak; Desain Komunikasi Visual; Manajemen Perkantoran; Akuntansi; Bisnis Retail;;;;;;Jakarta Pusat;58.97;62.20;49.65;50.83;;A;133 murid;19 murid;86 murid;11 murid;
20100164;SMK NEGERI 3;JL. GARUDA NO. 63;Teknik Komputer dan Jaringan; Manajemen Perkantoran; Akuntansi; Bisnis Retail;;;;;;;Jakarta Pusat;62.24;61.75;49.53;50.26;;A;76 murid;10 murid;46 murid;5 murid;
20107436;SMK NEGERI 4;JL. ROROTAN 6 NO.1. JAKARTA UTARA;Desain dan Teknik Furnitur; Teknik Konstruksi dan Perumahan; Teknik Instalasi Tenaga Listrik; Teknik Pemesinan; Teknik Pengelasan; Teknik Kendaraan Ringan; Teknik Audio Video; Teknik Elektronika Industri; Teknik Mekatronika; Teknik Komputer dan Jaringan;Jakarta Utara;61.58;67.64;51.98;51.93;;A;285 murid;39 murid;186 murid;19 murid;
20103783;SMK NEGERI 5;JL. PISANGAN TIMUR VII;Teknik Instalasi Tenaga Listrik; Teknik Pemesinan; Teknik Kendaraan Ringan; Teknik Pemanasan. Tata Udara. dan Pendinginan; Teknik Audio Video; Teknik Sepeda Motor;;;;;Jakarta Timur;54.34;67.15;50.31;49.85;;A;190 murid;26 murid;124 murid;20 murid;
20102579;SMK NEGERI 6;JL. PROF JOKO SUTONO SH NO.2 A. KEB. BARU JAKARTA SELATAN;Rekayasa Perangkat Lunak; Desain Komunikasi Visual; Animasi; Manajemen Perkantoran; Akuntansi; Bisnis Retail;;;;;Jakarta Selatan;61.27;70.03;50.65;51.63;;A;171 murid;24 murid;112 murid;8 murid;
20103778;SMK NEGERI 7;JL. TENGGIRI NO. 1 RAWAMANGUN;Teknik Grafika; Teknik Komputer dan Jaringan; Desain Komunikasi Visual;;;;;;;;Jakarta Timur;54.58;62.68;51.00;49.48;;A;151 murid;19 murid;94 murid;14 murid;
20102597;SMK NEGERI 8;JL. RAYA PEJATEN. JAKARTA SELATAN;Usaha Layanan Wisata; Manajemen Perkantoran; Akuntansi; Bisnis Retail; Bisnis Digital; Rekayasa Perangkat Lunak; Manajemen Logistik;;;;Jakarta Selatan;60.03;66.71;54.81;52.20;;A;190 murid;28 murid;127 murid;10 murid;
20101496;SMK NEGERI 9;JL. GEDONG PANJANG 2 NO. 17;Desain Komunikasi Visual; Usaha Layanan Wisata; Manajemen Perkantoran; Akuntansi; Bisnis Retail; Bisnis Digital;;;;;Jakarta Barat;58.96;64.52;50.53;50.63;;A;114 murid;18 murid;71 murid;9 murid;
20103791;SMK NEGERI 10;JL. SMEA 6 MAYJEND SUTOYO;Rekayasa Perangkat Lunak; Manajemen Perkantoran; Manajemen Logistik; Akuntansi; Bisnis Retail; Bisnis Digital;;;;;Jakarta Timur;61.12;62.50;51.61;49.96;;A;133 murid;20 murid;81 murid;2 murid;
20101504;SMK NEGERI 11;JL. PINANGSIA I NO. 20;Manajemen Perkantoran; Akuntansi; Bisnis Retail;;;;;;;;Jakarta Barat;55.38;57.62;50.26;52.86;;A;114 murid;15 murid;71 murid;8 murid;
