NPSN,NAMA SEKOLAH,ALAMAT,DAFTAR KOMPETENSI,DAFTAR KOMPETENSI2,DAFTAR KOMPETENSI3,DAFTAR KOMPETENSI4,DAFTAR KOMPETENSI5,DAFTAR KOMPETENSI6,DAFTAR KOMPETENSI7,DAFTAR KOMPETENSI8,DAFTAR KOMPETENSI9,DAFTAR KOMPETENSI10,Nilai Rerata,Domisili
20100143,SMK NEGERI 1,JL. BUDI UTOMO NO 7 JAKARTA PUSAT,Teknik Konstruksi dan Perumahan, Desain Pemodelan dan Informasi Bangunan, Teknik Instalasi Tenaga Listrik, Teknik Pemesinan, Desain Gambar Mesin, Teknik Kendaraan Ringan, Rekayasa Perangkat Lunak, Sistem Informasi, Jaringan dan Aplikasi, Teknik Komputer dan Jaringan, Desain Komunikasi Visual,62.83,Jakarta Pusat
20100161,SMK NEGERI 2,JL. BATU NO. 3,Rekayasa Perangkat Lunak, Desain Komunikasi Visual, Manajemen Perkantoran, Akuntansi, Bisnis Retail,,,,,,58.97,Jakarta Pusat
20100164,SMK NEGERI 3,JL. GARUDA NO. 63,Teknik Komputer dan Jaringan, Manajemen Perkantoran, Akuntansi, Bisnis Retail,,,,,,,62.24,Jakarta Pusat
20107436,SMK NEGERI 4,"JL. ROROTAN 6 NO.1, JAKARTA UTARA",Desain dan Teknik Furnitur, Teknik Konstruksi dan Perumahan, Teknik Instalasi Tenaga Listrik, Teknik Pemesinan, Teknik Pengelasan, Teknik Kendaraan Ringan, Teknik Audio Video, Teknik Elektronika Industri, Teknik Mekatronika, Teknik Komputer dan Jaringan,61.58,Jakarta Utara
20103783,SMK NEGERI 5,JL. PISANGAN TIMUR VII,Teknik Instalasi Tenaga Listrik, Teknik Pemesinan, Teknik Kendaraan Ringan," Teknik Pemanasan, Tata Udara, dan Pendinginan", Teknik Audio Video, Teknik Sepeda Motor,,,,,54.34,Jakarta Timur
20102579,SMK NEGERI 6,JL. PROF JOKO SUTONO SH NO.2 A. KEB. BARU JAKARTA SELATAN,Rekayasa Perangkat Lunak, Desain Komunikasi Visual, Animasi, Manajemen Perkantoran, Akuntansi, Bisnis Retail,,,,,61.27,Jakarta Selatan
20103778,SMK NEGERI 7,JL. TENGGIRI NO. 1 RAWAMANGUN,Teknik Grafika, Teknik Komputer dan Jaringan, Desain Komunikasi Visual,,,,,,,,54.58,Jakarta Timur
20102597,SMK NEGERI 8,"JL. RAYA PEJATEN, JAKARTA SELATAN",Usaha Layanan Wisata, Manajemen Perkantoran, Akuntansi, Bisnis Retail, Bisnis Digital, Rekayasa Perangkat Lunak, Manajemen Logistik,,,,60.03,Jakarta Selatan
20101496,SMK NEGERI 9,JL. GEDONG PANJANG 2 NO. 17,Desain Komunikasi Visual, Usaha Layanan Wisata, Manajemen Perkantoran, Akuntansi, Bisnis Retail, Bisnis Digital,,,,,58.96,Jakarta Barat
20103791,SMK NEGERI 10,JL. SMEA 6 MAYJEND SUTOYO,Rekayasa Perangkat Lunak, Manajemen Perkantoran, Manajemen Logistik, Akuntansi, Bisnis Retail, Bisnis Digital,,,,,61.12,Jakarta Timur
20101504,SMK NEGERI 11,JL. PINANGSIA I NO. 20,Manajemen Perkantoran, Akuntansi, Bisnis Retail,,,,,,,,55.38,Jakarta Barat
20100783,SMK NEGERI 12,JL. KEBON BAWANG 15,Rekayasa Perangkat Lunak, Manajemen Perkantoran, Akuntansi, Bisnis Retail,,,,,,,60.87,Jakarta Utara
20101503,SMK NEGERI 13,JL. RAWA BELONG 2,Usaha Layanan Wisata, Manajemen Perkantoran, Akuntansi, Bisnis Retail, Desain Komunikasi Visual,,,,,,58.07,Jakarta Barat
